Date,DIS,TSLA,XLB,BAC,RDFN,PFE
2015-01-31,87.46340103149414,40.651100158691406,42.43871669769287,14.453346920013427,,24.560344219207764
2015-02-28,95.43473896227385,42.13463130750154,44.94489228098016,14.535460321526779,,25.976905220433284
2015-03-31,98.77944044633345,38.94363628734242,44.155635833740234,14.219094623218883,,26.377146894281562
2015-04-30,100.23582531156994,42.322286515008834,44.274398440406436,14.063896814982096,,26.739389419555664
2015-05-31,102.57553024291992,48.44410037994385,45.31029586791992,14.821878814697266,,26.35413513183594
2015-06-30,104.1639421636408,51.40036340193315,44.52458728443492,15.531144055453213,,26.450382839549672
2015-07-31,110.56480164961381,53.319909355857156,42.01360164989125,15.791144024242055,,26.831578254699707
2015-08-31,99.55638449532645,48.91009521484375,39.771202814011346,15.407169523693266,,26.862124488467263
2015-09-30,95.71245829264323,50.58123851957775,37.33277220953079,14.286197662353516,,25.166412807646253
2015-10-31,101.74567690762606,44.39654558355158,39.332536870783024,14.515930956060236,,26.288161971352316
2015-11-30,109.09481811523438,44.17639999389648,40.633541679382326,15.801233148574829,,26.160852718353272
2015-12-31,103.46042875810103,46.0343636599454,39.772939855402164,15.622110496867787,,25.582040960138496
2016-01-31,91.78808553595292,40.91242117630808,35.37049564562346,13.201427811070493,,24.32674809506065
2016-02-29,88.67139434814453,33.93400030136108,36.59758281707764,11.307430505752563,,23.522723388671874
2016-03-31,92.65684266523881,43.22945421392267,40.081649260087445,12.282823649319736,,23.706039428710938
2016-04-30,94.84883662632534,50.19180951799665,41.788365500313894,12.797539574759346,,25.805091857910156
2016-05-31,95.87628973098029,43.32676206316267,42.196729932512554,13.085193361554827,,26.90347435360863
2016-06-30,92.41926540027966,42.96781834689054,42.81774295460094,12.51410909132524,,27.847931948575106
2016-07-31,93.40030899047852,44.67580013275146,43.7433364868164,12.619914531707764,,29.22126932144165
2016-08-31,91.27061064346977,44.74686962625255,44.48283900385318,13.835573776908543,,28.41992660190748
2016-09-30,88.31196049281529,40.451238359723774,43.600706191289994,14.323935327075777,,27.616111482892716
2016-10-31,87.79789588564918,40.33666665213449,42.96813728695824,14.962398665291923,,26.530160449800036
2016-11-30,91.80498286655971,37.831524076915926,44.19915244692848,17.458972249712264,,25.662568137759255
2016-12-31,98.94796789260138,40.1105713617234,46.462855202811106,20.64732615152995,,26.300213768368675
2017-01-31,103.64946250915527,47.86409969329834,47.335693168640134,21.00773916244507,,26.348890399932863
2017-02-28,105.33621255975021,52.742210588957136,48.167035153037624,21.924951954891807,,27.205181824533565
2017-03-31,107.07901233175527,51.63130436772885,48.28747193709664,22.574025527290676,,28.26452454276707
2017-04-30,109.03968088250411,60.951684048301296,48.54953866255911,21.385327288978978,,27.98655188711066
2017-05-31,104.82633451981978,63.30481789328835,48.86158839139071,21.686541730707344,,27.234071384776723
2017-06-30,101.28967181119052,73.16072741421786,50.11451409079812,21.563932852311567,,27.54216332869096
2017-07-31,102.33217163085938,65.7609998703003,51.085375213623045,22.527685832977294,22.914999961853027,27.748121070861817
2017-08-31,99.8866723102072,70.17504385243292,50.46550435605256,22.3599735757579,25.882608911265496,27.977797549703848
2017-09-30,95.32829818725585,71.57140007019044,52.33075637817383,22.69459056854248,25.863000011444093,29.52227258682251
2017-10-31,95.33645664561878,68.93663614446467,54.52812385559082,24.71922354264693,24.913181911815297,30.308665795759723
2017-11-30,98.90648687453498,62.03838094075521,54.78582164219448,25.194932211013068,21.863809858049667,30.03730646769206
2017-12-31,104.97720642089844,64.56820049285889,55.997643089294435,27.320106315612794,26.117500019073486,30.80227565765381
2018-01-31,107.88136473156158,67.71666644868397,59.14576848347982,29.165295464651926,25.340476353963215,31.42665009271531
2018-02-28,102.5962018464741,67.1554742110403,56.394968936317845,29.5311279296875,21.513157995123613,30.511496493690892
2018-03-31,99.47104935418992,63.19666580926804,55.39201918102446,29.539311000279017,22.1271428607759,30.820160457066127
2018-04-30,97.66774604434059,57.954571496872674,54.57897131783621,28.163238252912247,22.603809265863326,31.040386744907924
2018-05-31,99.0505142211914,57.97045464949174,55.319540370594375,28.346297004006125,22.18954545801336,30.60078170082786
2018-06-30,101.6628897530692,67.12009520757766,56.04385684785389,27.595312754313152,22.77857153756278,31.43275887625558
2018-07-31,107.15437716529483,62.39495231991722,55.58523904709589,27.932322820027668,24.040952500842867,32.486997241065616
2018-08-31,110.70651178774627,66.24286933567213,55.89835523522419,29.295853490414828,20.214130318683125,36.03533355049465
2018-09-30,109.22389261346115,58.029578961824114,56.34276420191715,28.955522135684365,19.09789456819233,37.49175463224712
2018-10-31,112.98427084217901,56.99860863063646,51.64290834509808,26.86718235845151,16.32565220542576,38.338237596594766
2018-11-30,113.22768656412761,68.89904748825799,51.75002379644485,26.415186564127605,15.517619087582542,38.47291001819429
2018-12-31,108.36358281185753,68.82189459549754,48.74518906442743,23.58050527070698,15.72578932109632,38.140955473247324
2019-01-31,109.55962299165272,63.69885708036877,50.081081208728605,26.144288744245255,16.54904760633196,37.09833490280878
2019-02-28,110.81205910130551,61.54568421213251,52.11678514982525,27.505503001965973,18.739999871504935,37.590288061844674
2019-03-31,110.92860630580357,55.55142829531715,52.97864169166202,27.285437720162527,19.481428509666806,37.28847431001209
2019-04-30,124.29477800641742,53.33114260718936,55.269035157703215,28.37286295209612,22.093809400285995,36.595679873511905
2019-05-31,132.08889493075284,43.943090959028765,52.46107795021751,27.582609089938078,17.86590896953236,36.89319697293368
2019-06-30,136.90782470703124,42.743300437927246,55.38436985015869,26.935178089141846,17.569500255584718,38.47512798309326
